ID,Updated_DttM,importID,LoadNo,OpsOrg,RoutePrefix,RouteID,RouteVer,Load_Status,Stop_Status,LoadSessionNo,Scac,Mode,Trailer1,Trailer2,PlanArrivalTime,PlanDepartTime,ScheduleArrivalTime,ScheduleDepartTime,ActualArrivalTime,ActualDepartTime,LastPingTime,Location,AcctActorID,AcctID
13121,2026-03-16 10:45:40.760,26964,53235057,Mexico GM,GM-MEX-18008,ARM725AU,01-2,Proposed,Inactive,3396746,PAMT,TL,NULL,NULL,2026-03-30 22:30:00.000,2026-03-30 23:30:00.000,2026-03-30 22:30:00.000,2026-03-30 23:30:00.000,NULL,NULL,NULL,"GMVM Arlington Asm, Arlington, TX",18008-AAA,18008-AAA
13443,2026-03-16 10:45:40.760,27286,53239848,ReturnOpsGM,GM-RACK-18008,ARM660AR,12-2,Proposed,Inactive,5684425,EVRP,TL,NULL,NULL,2026-03-30 00:45:00.000,2026-03-30 01:45:00.000,2026-03-30 00:45:00.000,2026-03-30 01:45:00.000,NULL,NULL,NULL,"GMVM Arlington Asm, Arlington, TX",18008-EEE,18008-EEE
13204,2026-03-16 10:45:40.760,27047,53237191,ReturnOpsGM,GM-RACK-18008,ARC410DAR,01-2,Proposed,Inactive,3472588,MRLC,TL,NULL,NULL,2026-03-28 10:05:00.000,2026-03-28 11:05:00.000,2026-03-28 10:05:00.000,2026-03-28 11:05:00.000,NULL,NULL,NULL,"Universal Logistics, Grand Prairie, TX",NULL,NULL
13348,2026-03-16 10:45:40.760,27191,53238275,GMOps,GM-IML-18008,ARN310LC,03-4,Proposed,Inactive,5548225,APAD,ITL,NULL,NULL,2026-03-27 20:30:00.000,2026-03-27 21:30:00.000,2026-03-27 20:30:00.000,2026-03-27 21:30:00.000,NULL,NULL,NULL,"Universal Logistics, Grand Prairie, TX",NULL,NULL
13322,2026-03-16 10:45:40.760,27165,53237755,GMOps,GM-IML-18008,ARN655VA,01-5,Proposed,Inactive,3364955,APAD,ITL,NULL,NULL,2026-03-27 17:30:00.000,2026-03-27 18:30:00.000,2026-03-27 17:30:00.000,2026-03-27 18:30:00.000,NULL,NULL,NULL,"Avancez-VAA, Arlington, TX",NULL,NULL
13428,2026-03-16 10:45:40.760,27271,53239278,ReturnOpsGM,GM-RACK-18008,ARN655VAR,01-2,Proposed,Inactive,3838136,APAD,ITL,NULL,NULL,2026-03-27 17:30:00.000,2026-03-27 18:30:00.000,2026-03-27 17:30:00.000,2026-03-27 18:30:00.000,NULL,NULL,NULL,"Avancez-VAA, Arlington, TX",NULL,NULL
13422,2026-03-16 10:45:40.760,27265,53239227,ReturnOpsGM,GM-RACK-18008,ARD310DR,02-2,Proposed,Inactive,5915541,APAD,ITL,NULL,NULL,2026-03-27 16:00:00.000,2026-03-27 19:00:00.000,2026-03-27 16:00:00.000,2026-03-27 19:00:00.000,NULL,NULL,NULL,"Universal Logistics, Grand Prairie, TX",NULL,NULL
13411,2026-03-16 10:45:40.760,27254,53238933,GMOps,GM-IML-18008,ARN310LC,02-4,Proposed,Inactive,5548224,APAD,ITL,NULL,NULL,2026-03-27 12:30:00.000,2026-03-27 13:30:00.000,2026-03-27 12:30:00.000,2026-03-27 13:30:00.000,NULL,NULL,NULL,"Universal Logistics, Grand Prairie, TX",NULL,NULL
13427,2026-03-16 10:45:40.760,27270,53239277,ReturnOpsGM,GM-RACK-18008,ARN655VAR,02-2,Proposed,Inactive,3838135,APAD,ITL,NULL,NULL,2026-03-27 10:15:00.000,2026-03-27 11:45:00.000,2026-03-27 10:15:00.000,2026-03-27 11:45:00.000,NULL,NULL,NULL,"Avancez-VAA, Arlington, TX",NULL,NULL
13324,2026-03-16 10:45:40.760,27167,53237757,GMOps,GM-IML-18008,ARN655VA,02-5,Proposed,Inactive,3364957,APAD,ITL,NULL,NULL,2026-03-27 10:15:00.000,2026-03-27 11:45:00.000,2026-03-27 10:15:00.000,2026-03-27 11:45:00.000,NULL,NULL,NULL,"Avancez-VAA, Arlington, TX",NULL,NULL
13321,2026-03-16 10:45:40.760,27164,53237754,GMOps,GM-IML-18008,ARN630L,02-5,Proposed,Inactive,3364953,LLCG,ITL,NULL,NULL,2026-03-27 07:20:00.000,2026-03-27 08:20:00.000,2026-03-27 07:20:00.000,2026-03-27 08:20:00.000,NULL,NULL,NULL,"Universal Logistics, Grand Prairie, TX",NULL,NULL
13446,2026-03-16 10:45:40.760,27289,53239939,Mexico GM,GM-MEX-18008,ARM968AU,01-3,Proposed,Inactive,5786629,PAMT,TL,NULL,NULL,2026-03-27 04:30:00.000,2026-03-27 05:30:00.000,2026-03-27 04:30:00.000,2026-03-27 05:30:00.000,NULL,NULL,NULL,"GMVM Arlington Asm, Arlington, TX",18008-EEE,18008-EEE
13323,2026-03-16 10:45:40.760,27166,53237756,GMOps,GM-IML-18008,ARN655VAY,01-4,Proposed,Inactive,3364956,APAD,ITL,NULL,NULL,2026-03-27 02:00:00.000,2026-03-27 03:00:00.000,2026-03-27 02:00:00.000,2026-03-27 03:00:00.000,NULL,NULL,NULL,"Avancez-VAA, Arlington, TX",NULL,NULL
12849,2026-03-16 10:45:40.760,26692,53232617,GMOps,GM-IML-18008,ARN310LC,03-4,Proposed,Inactive,5548225,APAD,ITL,NULL,NULL,2026-03-26 20:30:00.000,2026-03-26 21:30:00.000,2026-03-26 20:30:00.000,2026-03-26 21:30:00.000,NULL,NULL,NULL,"Universal Logistics, Grand Prairie, TX",NULL,NULL
13183,2026-03-16 10:45:40.760,27026,53236603,ReturnOpsGM,GM-RACK-18008,ARN655VAR,01-2,Proposed,Inactive,3838136,APAD,ITL,NULL,NULL,2026-03-26 17:30:00.000,2026-03-26 18:30:00.000,2026-03-26 17:30:00.000,2026-03-26 18:30:00.000,NULL,NULL,NULL,"Avancez-VAA, Arlington, TX",NULL,NULL
13004,2026-03-16 10:45:40.760,26847,53233851,GMOps,GM-IML-18008,ARN655VA,01-5,Proposed,Inactive,3364955,APAD,ITL,NULL,NULL,2026-03-26 17:30:00.000,2026-03-26 18:30:00.000,2026-03-26 17:30:00.000,2026-03-26 18:30:00.000,NULL,NULL,NULL,"Avancez-VAA, Arlington, TX",NULL,NULL
